"Incorrect value for Product Category field.","Valor incorrecto para el campo Categoría de producto."
"Incorrect value for Currency field.","Valor incorrecto para el campo Moneda."
"Incorrect value for Country field.","Valor incorrecto para el campo País."
"Incorrect value for Last Name field.","Valor incorrecto para el campo Apellido."
"Incorrect value for First Name field.","Valor incorrecto para el campo Nombre."
"Incorrect value for Phone Number field.","Valor incorrecto para el campo Número de teléfono."
"Incorrect value for Email field.","Valor incorrecto para el campo Correo electrónico."
"Could not register an account. Please, check the form was filled out correctly.","No se pudo registrar una cuenta. Por favor, compruebe que el formulario se ha rellenado correctamente."
"Account already exists. Please, authorize.","La cuenta ya existe. Por favor, autorice."
"Account successfully registered.","Cuenta registrada correctamente."
"Incorrect value for API Key.","Valor incorrecto para la API Key."
"Incorrect value for API Secret.","Valor incorrecto para la API Secret."
"Incorrect value for Product Category.","Valor incorrecto para la categoría de producto."
"Could not create a store.","No se pudo crear una tienda."
"Store successfully created.","La tienda se creó correctamente."
"Incorrect value for Secret Key field.","Valor incorrecto para el campo Secret Key."
"Incorrect value for Store Key field.","Valor incorrecto para el campo Store Key."
"Could not export product feed.","No se pudo exportar el feed de productos."
"Product feed successfully exported to REES46.","El feed de productos se exportó correctamente a REES46."
"Could not export orders.","No se pudieron exportar pedidos."
"%s out of %s orders successfully exported to REES46.","%s de %s pedidos exportados con éxito a REES46."
"%s orders successfully exported to REES46.","%s pedidos exportados con éxito a REES46."
"No available orders for export.","No hay pedidos disponibles para la exportación."
"Could not export customers.","No se pueden exportar clientes."
"%s out of %s customers successfully exported to REES46.","%s de los %s clientes exportados con éxito a REES46."
"%s customers successfully exported to REES46.","%s clientes exitosamente exportados a REES46."
"No available customers for export.","No hay clientes disponibles para la exportación."
"%s successfully loaded.","%s cargado correctamente."
"Could not load %s.","No se pudo cargar %s."
"You May Also Like","También te puede interesar"
"Frequently Bought Together","Frecuentemente Comprado Junto"
"Similar Products","Productos Similares"
"Popular Products","Lo más vendid"
"Recommended For You","Recomendado para ti"
"You Recently Viewed","Visto Recientement"
"Trending Products","Productos más vistos"
"Customers Who Looked For This Item Also Bought","Clientes que buscan este producto también compraron"
"Regular Purchase","Pedido"
Name,Nombre
Status,Estado
"Export XML Product Feed","Exportar fuente de producto XML"
Repeat,Repetir
"Export Orders","Órdenes de exportación"
"Export Customers","Exportar clientes"
"Load manifest.json","Load manifest.json"
"Load push_sw.js","Load push_sw.js"
Authorize,Autorizar
Register,Registro
"Go to your REES46 store dashboard to get the access to:","Go to your REES46 store dashboard to get the access to:"
"Triggered emails","Triggered emails"
"Email marketing tool","Email marketing tool"
"Personalized search","Personalized search"
"Web push triggered notifications","Web push triggered notifications"
"Instant web push notifications","Instant web push notifications"
"Audience segmentation","Audience segmentation"
"Abandoned cart remarketing tool","Abandoned cart remarketing tool"
"REES46 dashboard","REES46 dashboard"
Documentation:,Documentación:
http://docs.rees46.com/display/en/Magento+2.x+Extension,http://docs.rees46.com/display/en/Magento+2.x+Extension
Send,Enviar
More,Más
"Add to Cart","Añadir a la cesta"
"In stock","En stock"
"Out of stock","Agotado"
"Add to Wish List","Añadir a la lista de deseos"
"Add to Compare","Añadir a comparar"
"Learn More","Aprende más"
Availability,Disponibilidad
REES46,REES46
Settings,Ajustes
"Authorization Form","Formulario de autorización"
"To authorize, please log in on rees46.com and copy & paste Store Key and Secret Key from Store Settings (Dashboard > Settings > Store Settings) to the fields below.","Para autorizar, inicie sesión en rees46.com y copie y pegue la clave de tienda y la clave secreta de Configuración de tienda (Dashboard > Configuración > Configuración de tienda) a los campos siguientes."
"Store Key","Store Key"
"Secret Key","Secret Key"
"Registration Form","Formulario de inscripció
"To register, please fill out the form below. Authorization, in this case, is performed automatically.","Para registrarse por favor llene el siguiente formulario. La autorización, en este caso, se realiza automáticamente."
Email,Email
"Phone Number","Número de teléfono"
"First Name","Nombre de pila"
"Last Name","Apellido"
Country,País
Currency,Moneda
"Product Category","Categoria de producto"
General,General
"Created Order Status","Estado del pedido creado"
"Completed Order Status","Estado del pedido completado"
"Cancelled Order Status","Estado del pedido cancelado"
"Cron XML","Cron XML"
"Logging","Explotación florestal"
"Product Recommendations Blocks","Recomendaciones del producto Bloques"
Actions,Comportamiento
"REES46 Recommendations","REES46 Recomendaciones"
"REES46 Product Recommendations Block","REES46 Recomendaciones del producto Bloque"
"Block Type","Tipo de bloque"
"Block Title","Título del bloque"
"Product Limit","Límite del producto"
"Recommendation Block Template","Plantilla de bloque de recomendaciones"
"REES46 Basic Template","REES46 Plantilla básica"
"Products Grid Template","Plantilla de cuadrícula de productos"
"Products List Template","Plantilla de lista de productos"
"Products Images and Names List Template","Plantilla de lista de imágenes y nombres de productos"
"Products Images Only List Template","Productos Imágenes Sólo Lista Plantilla"
"Products Names Only List Template","Plantilla de lista de sólo nombres de productos"
"Show Only Special Offers","Mostrar sólo ofertas especiales"
"Show Only Products of Following Brands","Mostrar sólo productos de las siguientes marcas"
"Exclude Products of Following Brands","Excluir productos de las siguientes marcas"
